time,agentID,stray_dogs,attitude,prob_acquire,prob_release,norm_education_level
0,0,0,0.0467862229547,0.023393111477363226,0.954291381378,0.0793305153213
0,1,0,0.488092779019,0.24404638950962892,0.613795923017,0.776952362439
0,2,0,0.877598512032,0.8775985120316776,0.415780204868,0.187342960601
0,3,0,0.254135556162,0.1270677780809239,0.77558665937,0.261794036291
0,4,0,0.753438470018,0.7534384700182022,0.470745123727,0.950574293175
0,5,0,0.475484054584,0.2377420272918877,0.621584102998,0.992263487238
0,6,0,0.26734208696,0.13367104347985614,0.765411189488,0.0544562478936
0,7,0,0.389838870114,0.38983887011407237,0.677165977385,0.814606478856
0,8,0,0.513149574828,0.2565747874141297,0.598607248333,0.460374652409
0,9,0,0.675585144982,0.33779257249106187,0.508858577432,0.241918885346
0,10,0,0.281633753465,0.09387791782166488,0.75454998525,0.3583208199
0,11,0,0.500575016296,0.16685833876532388,0.606181994953,0.280403647162
0,12,0,0.000476210384614,0.00023810519230710314,0.999523902986,0.761513416685
0,13,0,0.304337775586,0.30433777558595154,0.737611677151,0.900924171995
0,14,0,0.644230401919,0.6442304019185628,0.525066476806,0.595862329905
10,0,8,1.0,0.333333333333,0.367879441171,1.0
10,1,6,1.0,0.25,0.367879441171,1.0
10,2,3,1.0,1.0,0.367879441171,1.0
10,3,10,1.0,0.5,0.367879441171,1.0
10,4,0,1.0,0.333333333333,0.367879441171,1.0
10,5,7,1.0,0.333333333333,0.367879441171,1.0
10,6,1,1.0,0.333333333333,0.367879441171,1.0
10,7,6,1.0,0.5,0.367879441171,1.0
10,8,0,1.0,0.333333333333,0.367879441171,1.0
10,9,4,1.0,0.5,0.367879441171,1.0
10,10,0,1.0,0.333333333333,0.367879441171,1.0
10,11,1,1.0,0.333333333333,0.367879441171,1.0
10,12,11,1.0,0.333333333333,0.367879441171,1.0
10,13,2,1.0,0.333333333333,0.367879441171,1.0
10,14,8,1.0,0.5,0.367879441171,1.0
20,0,10,1.0,0.333333333333,0.367879441171,1.0
20,1,8,1.0,0.2,0.367879441171,1.0
20,2,5,1.0,0.5,0.367879441171,1.0
20,3,15,1.0,0.333333333333,0.367879441171,1.0
20,4,4,1.0,0.5,0.367879441171,1.0
20,5,10,1.0,0.333333333333,0.367879441171,1.0
20,6,11,1.0,0.25,0.367879441171,1.0
20,7,11,1.0,0.5,0.367879441171,1.0
20,8,2,1.0,0.333333333333,0.367879441171,1.0
20,9,7,1.0,0.333333333333,0.367879441171,1.0
20,10,3,1.0,0.333333333333,0.367879441171,1.0
20,11,3,1.0,0.333333333333,0.367879441171,1.0
20,12,14,1.0,0.333333333333,0.367879441171,1.0
20,13,9,1.0,0.5,0.367879441171,1.0
20,14,16,1.0,0.5,0.367879441171,1.0
30,0,26,1.0,0.5,0.367879441171,1.0
30,1,17,1.0,0.333333333333,0.367879441171,1.0
30,2,13,1.0,0.5,0.367879441171,1.0
30,3,22,1.0,0.5,0.367879441171,1.0
30,4,8,1.0,0.5,0.367879441171,1.0
30,5,19,1.0,0.25,0.367879441171,1.0
30,6,6,1.0,0.5,0.367879441171,1.0
30,7,13,1.0,0.333333333333,0.367879441171,1.0
30,8,6,1.0,0.25,0.367879441171,1.0
30,9,7,1.0,0.333333333333,0.367879441171,1.0
30,10,4,1.0,0.333333333333,0.367879441171,1.0
30,11,5,1.0,0.333333333333,0.367879441171,1.0
30,12,25,1.0,0.333333333333,0.367879441171,1.0
30,13,6,1.0,0.5,0.367879441171,1.0
30,14,28,1.0,0.5,0.367879441171,1.0
